colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FFA68B	-0.0302000769005074	0.210985323246747	2	2	0.461110183268388	Pupil.Teacher.Ratio..Public.School..max	2
#FF9172	-0.0302000769005074	0.210985323246747	2	2	0.56261794768971	Pupil.Teacher.Ratio..Public.School..mean	2
#FFDED2	-0.0302000769005074	0.210985323246747	2	2	0.175444720405433	Pupil.Teacher.Ratio..Public.School..sd	2
#FF8362	-0.0302000769005074	0.210985323246747	2	2	0.629906695865703	Pupil.Teacher.Ratio..Public.School..median	2
#FF8261	-0.0302000769005074	0.210985323246747	2	2	0.634850270274916	Free.Lunch.Eligible.mean	2
#FF8A6B	-0.0302000769005074	0.210985323246747	2	2	0.594466266701112	Free.Lunch.Eligible.sd	2
#FF8464	-0.0302000769005074	0.210985323246747	2	2	0.622181665843731	Free.Lunch.Eligible.median	2
#FFB199	-0.0302000769005074	0.210985323246747	2	2	0.403102784908573	Reduced.Lunch.Eligible.min	2
#FF9172	-0.0302000769005074	0.210985323246747	2	2	0.563349998372426	Reduced.Lunch.Eligible.mean	2
#FF9678	-0.0302000769005074	0.210985323246747	2	2	0.53914637147901	Reduced.Lunch.Eligible.sd	2
#FF9476	-0.0302000769005074	0.210985323246747	2	2	0.547951086460774	Reduced.Lunch.Eligible.median	2
#FF1A09	-0.0302000769005074	0.210985323246747	2	2	0.977148015602519	Total.Students.mean	2
#FF6C4B	-0.0302000769005074	0.210985323246747	2	2	0.731404834116398	Total.Students.sd	2
#FF3219	-0.0302000769005074	0.210985323246747	2	2	0.931297780897377	Total.Students.median	2
#FF7352	-0.0302000769005074	0.210985323246747	2	2	0.699694843372537	Free.and.Reduced.Lunch.Students..Public.School..mean	2
#FF8766	-0.0302000769005074	0.210985323246747	2	2	0.612534599297717	Free.and.Reduced.Lunch.Students..Public.School..sd	2
#FF7756	-0.0302000769005074	0.210985323246747	2	2	0.684093629346045	Free.and.Reduced.Lunch.Students..Public.School..median	2
#E0CBFF	-0.0302000769005074	0.210985323246747	2	2	-0.222746321461612	Free.Reduced.Lunch.Rate.min	2
#F9F4FF	-0.0302000769005074	0.210985323246747	2	2	-0.0450431288043148	Free.Reduced.Lunch.Rate.max	2
#EBDDFF	-0.0302000769005074	0.210985323246747	2	2	-0.145226127258831	Free.Reduced.Lunch.Rate.mean	2
#FFE1D7	-0.0302000769005074	0.210985323246747	2	2	0.154974410558815	Free.Reduced.Lunch.Rate.sd	2
#EBDDFF	-0.0302000769005074	0.210985323246747	2	2	-0.144805083275613	Free.Reduced.Lunch.Rate.median	2
#FFE6DD	-0.0302000769005074	0.210985323246747	2	2	0.131843927178602	City..Large	2
#D1B5FF	-0.0302000769005074	0.210985323246747	2	2	-0.318725136876963	Rural..Distant	2
#DEC7FF	-0.0302000769005074	0.210985323246747	2	2	-0.239484570254601	Rural..Remote	2
#FFB097	-0.0302000769005074	0.210985323246747	2	2	0.411681925060776	Suburb..Large	2
#FFC7B5	-0.0302000769005074	0.210985323246747	2	2	0.28990382206835	Town..Distant	2
#FDFBFF	-0.0302000769005074	0.210985323246747	3	3	-0.0179305678572818	Designate.district.level.contact.person.	2
#F2E9FF	-0.0302000769005074	0.210985323246747	3	3	-0.0944101405007771	Administer.implementation.survey..e.g..Collabor...	2
#EBDCFF	-0.0302000769005074	0.210985323246747	3	3	-0.14815019903819	Use.technology.to.increase.the.quality.and.time...	2
#EEE1FF	-0.0302000769005074	0.210985323246747	3	3	-0.125552741606698	Participate.in.regional..cadre..and.state.event...	2
